"","Location.Sample.Date","compre_keep","Season","Facility","Object","Room","RoomType","Risk","Soil","Touch","Material","YM","Moisture","Continuity","Area","samples","Mat_cat","Freq_cat","Humid","Temp","Fill_bins_YM","Log10YM","Frequency","variable","value","se"
"111","WS.35.4","yes","Spring","Facility1","Drain","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",1.94e+09,"Wet","Perforated","Production","sample-199","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.05610002443765,NA
"112","B.12.3","no","Winter","Facility2","Door","HTST","Raw",3,"Yes","No","Rubber, Metal",0,"Wet","Continuous","Production","sample-2","Rubber, Metal","Weekly","Standard (30-60)","Ambient (~70-75)","Low",0,"Weekly","Shannon",2.39574279860528,NA
"113","B.27.2","yes","Fall","Facility2","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",13400,"Dry","Continuous","Storage","sample-20","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.26044614551617,NA
"114","WS.35.3","yes","Winter","Facility1","Drain","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",7.07e+09,"Wet","Perforated","Production","sample-200","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.33797071519198,NA
"115","WS.36.2","no","Fall","Facility1","Wall/Ceiling","Cheese Room","Post-Pasteurization ",3,"Yes","No","Painted Cinderblock",50000,"Dry","Continuous","Production","sample-201","Painted Cinderblock","None","Standard (30-60)","Ambient (~70-75)","Medium",4.7,"None","Shannon",0.31263301545442,NA
"116","WS.36.4","no","Spring","Facility1","Wall/Ceiling","Cheese Room","Post-Pasteurization ",3,"Yes","No","Painted Cinderblock",132000,"Dry","Continuous","Production","sample-202","Painted Cinderblock","None","Standard (30-60)","Ambient (~70-75)","High",5.12,"None","Shannon",1.09151483845626,NA
"117","WS.37.3","no","Winter","Facility1","Non-FPE Structure","Cheese Room","Post-Pasteurization ",3,"Yes","No","Stainless Steel",0,"Dry","Continuous","Production","sample-203","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",1.33228451441392,NA
"118","WS.39.2","yes","Fall","Facility1","Forklift/Pallet Jack","Filling","Filling",2,"Yes","No","Rubber, Metal",21600,"Dry","Continuous","Production","sample-204","Rubber, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.48213243273086,NA
"119","WS.39.4","yes","Spring","Facility1","Forklift/Pallet Jack","Filling","Filling",2,"Yes","No","Rubber, Metal",0,"Dry","Continuous","Production","sample-205","Rubber, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.26051127879459,NA
"120","WS.39.3","yes","Winter","Facility1","Forklift/Pallet Jack","Filling","Filling",2,"Yes","No","Rubber, Metal",3240000,"Dry","Continuous","Production","sample-206","Rubber, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.75157641113747,NA
"121","WS.04.2","no","Fall","Facility1","Drain","Dry Storage","Warehouse",3,"Yes","No","Stainless Steel",310000,"Dry","Perforated","Production","sample-207","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.90592310552221,NA
"122","WS.40.4","no","Spring","Facility1","Cart/Rolling Bins","Filling","Filling",3,"None","No","Rubber, Metal",41600,"Wet","Continuous","Production","sample-208","Rubber","None",NA,NA,NA,NA,"None","Shannon",0.933994438318281,NA
"123","WS.40.3","no","Winter","Facility1","Cart/Rolling Bins","Filling","Filling",3,"None","No","Rubber, Metal",0,"Dry","Continuous","Production","sample-209","Rubber","None",NA,NA,NA,NA,"None","Shannon",1.47025313692698,NA
"124","B.27.4","yes","Spring","Facility2","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",4000,"Dry","Continuous","Storage","sample-21","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.20144457225448,NA
"125","WS.41.2","no","Fall","Facility1","Cart/Rolling Bins","Filling","Filling",3,"None","No","Plastic",1250,"Dry","Continuous","Production","sample-210","Rubber","None",NA,NA,NA,NA,"None","Shannon",2.16073553781587,NA
"126","WS.41.4","no","Spring","Facility1","Cart/Rolling Bins","Filling","Filling",3,"None","No","Plastic",4000,"Damp","Continuous","Production","sample-211","Rubber","None",NA,NA,NA,NA,"None","Shannon",2.42885518678128,NA
"127","WS.41.3","no","Winter","Facility1","Cart/Rolling Bins","Filling","Filling",3,"None","No","Plastic",52400,"Damp","Continuous","Production","sample-212","Rubber","None",NA,NA,NA,NA,"None","Shannon",2.73347011681974,NA
"128","WS.42.2","no","Fall","Facility1","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",950,"Wet","Perforated","Production","sample-213","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",3.27012945760801,NA
"129","WS.42.4","no","Spring","Facility1","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",38000,"Wet","Perforated","Production","sample-214","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",3.20228726887933,NA
"130","WS.42.3","no","Winter","Facility1","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",4e+07,"Wet","Perforated","Production","sample-215","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",3.37351693858088,NA
"131","WS.43.2","yes","Fall","Facility1","Forklift/Pallet Jack","Filling","Filling",2,"None","No","Rubber, Metal",3550,"Dry,Wet","Continuous","Production","sample-216","Rubber, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.18738837900307,NA
"132","WS.43.4","yes","Spring","Facility1","Forklift/Pallet Jack","Filling","Filling",2,"None","No","Rubber, Metal",1120000,"Wet","Continuous","Production","sample-217","Rubber, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.34590368728286,NA
"133","WS.43.3","yes","Winter","Facility1","Forklift/Pallet Jack","Filling","Filling",2,"None","No","Rubber, Metal",20400,"Wet","Continuous","Production","sample-218","Rubber, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.73000890096026,NA
"134","WS.44.4","no","Spring","Facility1","Floor Object","Filling","Filling",3,"Yes","No","Painted Metal",6800,"Damp","Grid","Production","sample-219","Metal","None","Standard (30-60)","Cool (~60-68)","Medium",3.83,"None","Shannon",2.84795435038604,NA
"135","B.27.3","yes","Winter","Facility2","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",5600,"Dry","Continuous","Storage","sample-22","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.92279663952976,NA
"136","WS.45.4","no","Spring","Facility1","Conveyor","Filling","Filling",2,"Yes","No","Plastic",0,"Dry","Continuous","Production","sample-220","Plastic","Weekly",NA,NA,NA,NA,"Weekly","Shannon",1.88513112535098,NA
"137","WS.46.2","yes","Fall","Facility1","Drain","Hot Room","Warehouse",3,"Yes","No","Stainless Steel",25000,"Dry","Perforated","Storage","sample-221","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.39598754562531,NA
"138","WS.46.4","yes","Spring","Facility1","Drain","Hot Room","Warehouse",3,"Yes","No","Stainless Steel",23200,"Dry","Perforated","Storage","sample-222","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",2.07235344234339,NA
"139","WS.46.3","yes","Winter","Facility1","Drain","Hot Room","Warehouse",3,"Yes","No","Stainless Steel",0,"Dry","Perforated","Storage","sample-223","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",3.79020654531951,NA
"140","WS.47.2","yes","Fall","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Metal",0,"Dry","Continuous","Storage","sample-224","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",0,"None","Shannon",4.02774339068164,NA
"141","WS.47.4","yes","Spring","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Metal",0,"Dry","Continuous","Storage","sample-225","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",0,"None","Shannon",3.03978138090276,NA
"142","WS.47.3","yes","Winter","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Metal",400,"Dry","Continuous","Storage","sample-226","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.6,"None","Shannon",3.3800066174332,NA
"143","WS.48.2","yes","Fall","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Painted Metal, Plastic",600,"Dry","Continuous","Storage","sample-227","Plastic, Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.78,"None","Shannon",3.64786685385691,NA
"144","WS.48.4","yes","Spring","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Painted Metal, Plastic",1600,"Dry","Continuous","Storage","sample-228","Plastic, Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.2,"None","Shannon",3.053749373114,NA
"145","WS.48.3","yes","Winter","Facility1","Door","Hot Room","Warehouse",3,"Yes","No","Painted Metal, Plastic",1200,"Dry","Continuous","Storage","sample-229","Plastic, Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.08,"None","Shannon",3.55800661980522,NA
"146","B.28.2","no","Fall","Facility2","Floor Object","Dry Storage","Warehouse",3,"Yes","No","Painted Metal",1900,"Dry","Continuous","Storage","sample-23","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Medium",3.28,"None/as needed","Shannon",3.30731973643445,NA
"147","WS.49.2","yes","Fall","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",600,"Dry","Grille","Storage","sample-230","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.78,"None","Shannon",2.44148023853071,NA
"148","WS.49.4","yes","Spring","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",3200,"Dry","Grille","Storage","sample-231","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Medium",3.51,"None","Shannon",2.45056107257064,NA
"149","WS.49.3","yes","Winter","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Metal",800,"Dry","Grille","Storage","sample-232","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.9,"None","Shannon",2.90691979788761,NA
"150","WS.05.2","no","Fall","Facility1","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, Metal",400,"Dry","Continuous","Production","sample-233","Rubber, Metal","Yearly",NA,NA,NA,NA,"Yearly","Shannon",3.36580527012465,NA
"151","WS.05.3","no","Winter","Facility1","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, Metal",525000,"Dry","Continuous","Production","sample-234","Rubber, Metal","Yearly",NA,NA,NA,NA,"Yearly","Shannon",0.665804009174834,NA
"152","WS.50.4","no","Spring","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Painted Metal",400,"Dry","Grille","Storage","sample-235","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",2.6,"None","Shannon",3.28502197950967,NA
"153","WS.50.3","no","Winter","Facility1","Fan/Vent","Hot Room","Warehouse",3,"Yes","No","Painted Metal",0,"Dry","Grille","Storage","sample-236","Metal","None","Standard/Dry(0-30)","Hot(106.5)","Low",0,"None","Shannon",2.88491688803745,NA
"154","WS.51.4","no","Spring","Facility1","FPE Structure","Yogurt Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",16400,"Wet","Continuous","Production","sample-237","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",2.11923728902553,NA
"155","WS.06.2","no","Fall","Facility1","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, Metal",800,"Dry","Continuous","Production","sample-238","Rubber, Metal","Yearly",NA,NA,NA,NA,"Yearly","Shannon",3.20714760107539,NA
"156","WS.06.3","no","Winter","Facility1","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Rubber, Metal",8000,"Dry","Continuous","Production","sample-239","Rubber, Metal","Yearly",NA,NA,NA,NA,"Yearly","Shannon",2.55799323402015,NA
"157","B.28.4","no","Spring","Facility2","Floor Object","Dry Storage","Warehouse",3,"Yes","No","Painted Metal",4400,"Dry","Continuous","Storage","sample-24","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Medium",3.64,"None/as needed","Shannon",3.43798168808153,NA
"158","WS.08.2","yes","Fall","Facility1","Drain","Raw Blend","Raw",3,"Yes","No","Stainless Steel",2.08e+08,"Wet","Perforated","Production","sample-240","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",1.61329825672801,NA
"159","WS.08.4","yes","Spring","Facility1","Drain","Raw Blend","Raw",3,"Yes","No","Stainless Steel",1.95e+09,"Wet","Perforated","Production","sample-241","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",0.698667866456687,NA
"160","WS.08.3","yes","Winter","Facility1","Drain","Raw Blend","Raw",3,"Yes","No","Stainless Steel",13600000,"Wet","Perforated","Production","sample-242","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",1.6835540606267,NA
"161","WS.09.4","yes","Spring","Facility1","Hose","Raw Blend","Raw",2,"Yes","Yes","Rubber",14000,"Dry","Continuous","Production","sample-243","Rubber","Yearly",NA,NA,NA,NA,"Yearly","Shannon",1.69167497024325,NA
"162","WS.09.3","yes","Winter","Facility1","Hose","Raw Blend","Raw",2,"Yes","Yes","Rubber",12100000,"Damp","Continuous","Production","sample-244","Rubber","Yearly",NA,NA,NA,NA,"Yearly","Shannon",1.35647974008266,NA
"163","WS.10.4","no","Spring","Facility1","Hose","Raw Blend","Raw",2,"Yes","No","Rubber",8800,"Damp","Continuous","Production","sample-245","Rubber","None",NA,NA,NA,NA,"None","Shannon",1.29419765526988,NA
"164","WS.E2.4","no","Spring","Facility1","Drain","Materials Handling","Warehouse",3,"Yes","No","Stainless Steel",8.04e+08,"Dry","Perforated","Materials Handling","sample-246","Stainless Steel","monthly ",NA,NA,NA,NA,"monthly ","Shannon",1.94937653138631,NA
"165","WS.E3.4","no","Spring","Facility1","Drain","Cold Storage","Warehouse",3,"Yes","No","Stainless Steel",17800000,"Wet","Continuous","Materials Handling","sample-247","Stainless Steel",NA,NA,NA,NA,NA,NA,"Shannon",2.05062543361814,NA
"166","WS.E4.4","no","Spring","Facility1","Conveyor","Cold Storage","Warehouse",3,"Yes","No","Stainless Steel",29600,"Dry","Continuous","Storage","sample-248","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",3.29600068736353,NA
"167","WS.E5.4","no","Spring","Facility1","Conveyor","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",69200,"Dry","Continuous","Storage","sample-249","Metal","Weekly",NA,NA,NA,NA,"Weekly","Shannon",2.13899205953902,NA
"168","B.29.4","no","Spring","Facility2","Cleaning Tools","Materials Handling","Warehouse",3,"Yes","No","Plastic",2400,"Dry","Spiked","Materials Handling","sample-25","Plastic","None",NA,NA,NA,NA,"None","Shannon",3.36488497230041,NA
"169","WS.E6.4","no","Spring","Facility1","Floor Object","Hallway","Office/Hallway",4,"Yes","No","Cement floor, painted cinderblock wall",1200,"Dry","Continuous","Hallway","sample-250","Cement floor, painted cinderblock wall","None/as needed",NA,NA,NA,NA,"None/as needed","Shannon",3.21393390515826,NA
"170","WS.E7.4","no","Spring","Facility1","Floor Object","Batch","Raw",3,"Yes","No","Sealed Stone",11800000,"Damp","Continuous","Production","sample-251","Sealed Stone","None/as needed","Standard (30-60)","Cool (~60-68)","High",7.07,"None/as needed","Shannon",1.88912272566445,NA
"171","B.10B.1","no","Summer","Facility2","Cleaning Tools","HTST","Raw",3,"Yes","No","Plastic",0,"Dry","Continuous","Production","sample-252","Plastic","None",NA,NA,NA,NA,"None","Shannon",1.20487840019053,NA
"172","B.13A.1","no","Summer","Facility2","Floor Object","Fermentation Room","Post-Pasteurization ",3,"Yes","No","Rubber, Metal",1050,"Dry","Continuous","Production","sample-253","Rubber, Metal","None","Standard/Dry(0-30)","Ambient (~70-75)","Medium",3.02,"None","Shannon",0,NA
"173","B.13B.1","no","Summer","Facility2","Floor Object","Fermentation Room","Post-Pasteurization ",3,"Yes","No","Rubber, Metal",1e+05,"Dry","Continuous","Production","sample-254","Rubber, Metal","None","Standard/Dry(0-30)","Ambient (~70-75)","High",5,"None","Shannon",1.13777030549021,NA
"174","B.14B.1","no","Summer","Facility2","FPE Structure","Fermentation Room","Post-Pasteurization ",2,"Yes","No","Stainless Steel",0,"Dry","Continuous","Production","sample-255","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",0.203072044254128,NA
"175","B.15A.1","no","Summer","Facility2","Conveyor","Filling","Filling",2,"Yes","No","Stainless Steel",770000,"Dry","Continuous","Production","sample-256","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",0.878798939483074,NA
"176","B.15B.1","no","Summer","Facility2","Conveyor","Filling","Filling",2,"Yes","No","Stainless Steel",35000,"Dry","Continuous","Production","sample-257","Stainless Steel","Weekly",NA,NA,NA,NA,"Weekly","Shannon",0.967709249776413,NA
"177","B.16A.1","no","Summer","Facility2","Wall/Ceiling","Filling","Filling",3,"Yes","No","Painted Metal, Sealed Stone, Caulk",1400,"Damp","Continuous","Production","sample-258","Painted Metal, Sealed Stone, Caulk","Weekly","Standard (30-60)","Ambient (~70-75)","Medium",3.15,"Weekly","Shannon",0.235852994866001,NA
"178","B.16B.1","no","Summer","Facility2","Wall/Ceiling","Filling","Filling",3,"Yes","No","Painted Metal, Sealed Stone, Caulk",700,"Damp","Continuous","Production","sample-259","Painted Metal, Sealed Stone, Caulk","Weekly","Standard (30-60)","Ambient (~70-75)","Low",2.85,"Weekly","Shannon",0.542852838900667,NA
"179","B.30.2","no","Fall","Facility2","Non-FPE Structure","Materials Handling","Warehouse",3,"Yes","No","Stainless Steel",405000,"Dry","Continuous","Materials Handling","sample-26","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",1.54576079415165,NA
"180","B.17A.1","yes","Summer","Facility2","Conveyor","Filling","Filling",2,"Yes","No","Rubber",50000,"Dry","Continuous","Production","sample-260","Rubber","Weekly",NA,NA,NA,NA,"Weekly","Shannon",0.909910695018772,NA
"181","B.17B.1","yes","Summer","Facility2","Conveyor","Filling","Filling",2,"Yes","No","Rubber",51800,"Dry","Continuous","Production","sample-261","Rubber","Weekly",NA,NA,NA,NA,"Weekly","Shannon",0.773361191292873,NA
"182","B.18A.1","no","Summer","Facility2","Wall/Ceiling","Filling","Filling",3,"Yes","No","Painted Metal, Sealed Stone, Caulk",8e+06,"Dry","Continuous","Production","sample-262","Painted Metal, Sealed Stone, Caulk","Weekly","Standard (30-60)","Ambient (~70-75)","High",6.9,"Weekly","Shannon",0.748769338137783,NA
"183","B.18B.1","no","Summer","Facility2","Wall/Ceiling","Filling","Filling",3,"Yes","No","Painted Metal, Sealed Stone, Caulk",50000,"Dry","Continuous","Production","sample-263","Painted Metal, Sealed Stone, Caulk","Weekly",NA,NA,NA,NA,"Weekly","Shannon",0.395947335253009,NA
"184","B.19A.1","no","Summer","Facility2","Cart/Rolling Bins","Filling","Filling",3,"Yes","No","Rubber, Metal",180000,"Dry","Continuous","Production","sample-264","Rubber","Daily",NA,NA,NA,NA,"Daily","Shannon",1.82768556702334,NA
"185","B.20A.1","no","Summer","Facility2","Non-FPE Structure","Filling","Filling",3,"Yes","No","Stainless Steel",850,"Dry","Continuous","Production","sample-265","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",1.03541982911383,NA
"186","B.21A.1","no","Summer","Facility2","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",10300000,"Wet","Continuous","Production","sample-266","Stainless Steel","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.42442173287658,NA
"187","B.21B.1","no","Summer","Facility2","Drain","Filling","Filling",3,"Yes","No","Stainless Steel",50000,"Wet","Perforated","Production","sample-267","Stainless Steel","As needed",NA,NA,NA,NA,"None/as needed","Shannon",2.99222661640197,NA
"188","B.25B.1","no","Summer","Facility2","Fan/Vent","Dry Storage","Warehouse",3,"Yes","No","Metal",300,"Dry","Grille","Storage","sample-268","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Low",2.48,"None/as needed","Shannon",0.649248354870898,NA
"189","B.26A.1","no","Summer","Facility2","Door","Dry Storage","Warehouse",3,"Yes","No","Metal",4800,"Dry","Continuous","Storage","sample-269","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Medium",3.68,"None/as needed","Shannon",2.74575100204776,NA
"190","B.30.4","no","Spring","Facility2","Non-FPE Structure","Materials Handling","Warehouse",3,"Yes","No","Stainless Steel",2120000,"Dry","Continuous","Materials Handling","sample-27","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",1.93866966608227,NA
"191","B.26B.1","no","Summer","Facility2","Door","Dry Storage","Warehouse",3,"Yes","No","Metal",850,"Dry","Continuous","Storage","sample-270","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Low",2.93,"None/as needed","Shannon",0,NA
"192","B.27A.1","yes","Summer","Facility2","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",45400,"Dry","Continuous","Storage","sample-271","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.4272720571825,NA
"193","B.27B.1","yes","Summer","Facility2","Forklift/Pallet Jack","Dry Storage","Warehouse",3,"Yes","No","Metal",30000,"Dry","Continuous","Storage","sample-272","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",0,NA
"194","B.28A.1","no","Summer","Facility2","Floor Object","Dry Storage","Warehouse",3,"Yes","No","Painted Metal",450,"Dry","Continuous","Storage","sample-273","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Low",2.65,"None/as needed","Shannon",2.71215646018134,NA
"195","B.28B.1","no","Summer","Facility2","Floor Object","Dry Storage","Warehouse",3,"Yes","No","Painted Metal",850,"Dry","Continuous","Storage","sample-274","Metal","As needed","Standard/Dry(0-30)","Cool (~60-68)","Low",2.93,"None/as needed","Shannon",0,NA
"196","B.29A.1","no","Summer","Facility2","Cleaning Tools","Materials Handling","Warehouse",3,"Yes","No","Plastic",350,"Dry","Spiked","Materials Handling","sample-275","Plastic","None",NA,NA,NA,NA,"None","Shannon",2.49780720353985,NA
"197","B.29B.1","no","Summer","Facility2","Cleaning Tools","Materials Handling","Warehouse",3,"Yes","No","Plastic",2750,"Dry","Spiked","Materials Handling","sample-276","Plastic","None",NA,NA,NA,NA,"None","Shannon",0,NA
"198","B.30A.1","no","Summer","Facility2","Non-FPE Structure","Materials Handling","Warehouse",3,"Yes","No","Stainless Steel",610000,"Dry","Continuous","Materials Handling","sample-277","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",1.7480730469179,NA
"199","B.30B.1","no","Summer","Facility2","Non-FPE Structure","Materials Handling","Warehouse",3,"Yes","No","Stainless Steel",10000,"Dry","Continuous","Materials Handling","sample-278","Stainless Steel","None",NA,NA,NA,NA,"None","Shannon",0.700576336067636,NA
"200","B.31A.1","no","Summer","Facility2","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Metal",1650,"Dry","Continuous","Storage","sample-279","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.15806143829688,NA
"201","B.31.2","no","Fall","Facility2","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Metal",4400,"Dry","Continuous","Storage","sample-28","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.25414364325931,NA
"202","B.31B.1","no","Summer","Facility2","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Metal",2800,"Dry","Continuous","Storage","sample-280","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",0.542195345822798,NA
"203","B.32B.1","no","Summer","Facility2","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Metal, plastic, rubber",50,"Dry","Continuous","Storage","sample-281","Plastic, Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",1.38800314099467,NA
"204","B.33A.1","no","Summer","Facility2","Door","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",0,"Dry","Continuous","Storage","sample-282","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Low",0,"None","Shannon",2.44836568013976,NA
"205","B.33B.1","no","Summer","Facility2","Door","Cold Storage","Warehouse",3,"Yes","No","Painted Metal",5000,"Dry","Continuous","Storage","sample-283","Metal","None","Standard/Dry(0-30)","Cold(~55-40)","Medium",3.7,"None","Shannon",2.11039397592256,NA
"206","B.03A.1","no","Summer","Facility2","Hose","Batch","Raw",2,"Yes","Yes","Plastic, Metal",5350,"Dry","Continuous","Production","sample-284","Plastic, Metal","None",NA,NA,NA,NA,"None","Shannon",0.682641790428682,NA
"207","B.03B.1","no","Summer","Facility2","Hose","Batch","Raw",3,"Yes","Yes","Plastic, Metal",16200,"Dry","Continuous","Production","sample-285","Plastic, Metal","None",NA,NA,NA,NA,"None","Shannon",0.334678057895579,NA
"208","B.04A.1","yes","Summer","Facility2","Cleaning Tools","Batch","Raw",2,"Yes","No","Rubber, Plastic",0,"Dry","Continuous","Production","sample-286","Plastic","None",NA,NA,NA,NA,"None","Shannon",1.09560716817332,NA
"209","B.04B.1","yes","Summer","Facility2","Cleaning Tools","Batch","Raw",2,"Yes","No","Rubber, Plastic",0,"Dry","Continuous","Production","sample-287","Plastic","None",NA,NA,NA,NA,"None","Shannon",0.501294619252705,NA
"210","B.05A.1","no","Summer","Facility2","Door","Batch","Raw",3,"Yes","No","Tarp, Sealed Stone",0,"Dry","Continuous","Production","sample-288","Tarp, Sealed Stone","Weekly","Standard (30-60)","Ambient/Warm (~75-80)","Low",0,"Weekly","Shannon",0.502127092811812,NA
"211","B.05B.1","no","Summer","Facility2","Door","Batch","Raw",3,"Yes","No","Tarp, Sealed Stone",0,"Dry","Continuous","Production","sample-289","Tarp, Sealed Stone","Weekly","Standard (30-60)","Ambient/Warm (~75-80)","Low",0,"Weekly","Shannon",0,NA
"212","B.31.4","no","Spring","Facility2","Forklift/Pallet Jack","Cold Storage","Warehouse",3,"Yes","No","Metal",4400,"Dry","Continuous","Storage","sample-29","Metal","As needed",NA,NA,NA,NA,"None/as needed","Shannon",3.72106170525124,NA
"213","B.07A.1","no","Summer","Facility2","Drain","HTST","Raw",3,"None","No","Stainless Steel",0,"Wet","Perforated","Production","sample-290","Stainless Steel","As needed",NA,NA,NA,NA,"None/as needed","Shannon",0.759857837524164,NA
"214","B.08A.1","no","Summer","Facility2","Floor Object","HTST","Raw",3,"Yes","No","Metal",0,"Dry","Continuous","Production","sample-291","Metal","None","no data","Ambient/Warm (~75-80)","Low",0,"None","Shannon",0,NA
"215","NL.01.1","yes","Summer","Facility3","Floor Object","Batch","Raw",3,"Yes","No","Metal",1500,"Dry","Continuous","Production","sample-292","Metal","Weekly","Humid(60-80)","Ambient (~70-75)","Medium",3.18,"Weekly","Shannon",2.12766702420486,NA
"216","NL.10.1","yes","Summer","Facility3","Wall/Ceiling","UF","Post-Pasteurization ",3,"None","No","Painted cinderblock, caulk",315000,"Wet","Continuous","Production","sample-293","Caulk","None","Very Humid(>80)","Ambient (~70-75)","High",5.5,"None","Shannon",0.340864434321595,NA
"217","NL.12.1","no","Summer","Facility3","Drain","UF","Post-Pasteurization ",3,"Yes","No","Stainless Steel",200,"Wet","Continuous","Production","sample-294","Stainless Steel","Daily",NA,NA,NA,NA,"Daily","Shannon",0.692948045193178,NA
"218","NL.14.1","no","Summer","Facility3","Floor Object","UF","Post-Pasteurization ",3,"Yes","No","Caulk, plastic, brick",18800,"Wet","Continuous","Production","sample-295","Brick","None","Standard (30-60)","Ambient (~70-75)","Medium",4.27,"None","Shannon",2.2615321560338,NA
