sample.id,Location.Sample.Date,compre_keep,Season,Facility,Object,Room,RoomType,Risk,Soil,Touch,Material,YM,Moisture,Continuity,Area,samples,Mat_cat,Freq_cat
sample-302,NL.23.1,no,Summer,Facility3,Drain,Filling,Filling,3,None,No,Stainless Steel,250,Wet,Perforated,Production,sample-302,Stainless Steel,Daily
sample-103,NL.23.4,no,Spring,Facility3,Drain,Filling,Filling,3,None,No,Stainless Steel,400,Wet,Perforated,Production,sample-103,Stainless Steel,Daily
sample-303,NL.24.1,no,Summer,Facility3,Conveyor,Filling,Filling,2,None,No,"Stainless Steel, rubber",1450,Dry,Continuous,Production,sample-303,"Stainless Steel, rubber",Daily
sample-304,NL.25.1,no,Summer,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Stainless Steel,3850,Dry,Continuous,Production,sample-304,Stainless Steel,Daily
sample-104,NL.25.2,no,Fall,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Stainless Steel,0,Dry,Continuous,Production,sample-104,Stainless Steel,Daily
sample-305,NL.26.1,no,Summer,Facility3,Drain,Filling,Filling,3,Yes,No,Stainless Steel,1500,Wet,Perforated,Production,sample-305,Stainless Steel,Daily
sample-105,NL.26.4,no,Spring,Facility3,Drain,Filling,Filling,3,Yes,No,Stainless Steel,17600,Wet,Perforated,Production,sample-105,Stainless Steel,Daily
sample-306,NL.28.1,no,Summer,Facility3,Conveyor,Filling,Filling,2,Yes,No,Stainless Steel,170000,Dry,Continuous,Production,sample-306,Stainless Steel,Daily
sample-308,NL.31.1,no,Summer,Facility3,Door,Filling,Filling,3,Yes,No,Tarp,3500,Damp,Continuous,Production,sample-308,Plastic,None
sample-309,NL.32.1,no,Summer,Facility3,FPE Structure,Filling,Filling,2,Yes,No,Stainless Steel,0,Wet,Continuous,Production,sample-309,Stainless Steel,Daily
sample-109,NL.32.3,no,Winter,Facility3,FPE Structure,Filling,Filling,2,Yes,No,Stainless Steel,356000,Wet,Continuous,Production,sample-109,Stainless Steel,Daily
sample-310,NL.33.1,no,Summer,Facility3,Door,Filling,Filling,3,Yes,No,Tarp,300,Damp,Continuous,Production,sample-310,Plastic,None
sample-311,NL.35.1,no,Summer,Facility3,Door,Cold Storage,Warehouse,3,None,No,Tarp,157000000,Dry,Continuous,Storage,sample-311,Plastic,None
sample-110,NL.35.2,no,Fall,Facility3,Door,Cold Storage,Warehouse,3,Yes,No,Tarp,0,Wet,Continuous,Storage,sample-110,Plastic,None
sample-312,NL.36.1,no,Summer,Facility3,FPE Structure,Filling,Filling,2,None,No,Stainless Steel,45000000,Wet,Continuous,Production,sample-312,Stainless Steel,Daily
sample-111,NL.37.2,no,Fall,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,200,Dry,Continuous,Production,sample-111,Rubber,Daily
sample-112,NL.37.3,no,Winter,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,0,Dry,Continuous,Production,sample-112,Rubber,Daily
sample-313,NL.38.1,no,Summer,Facility3,FPE Structure,Filling,Filling,2,None,No,Stainless Steel,0,Wet,Continuous,Production,sample-313,Stainless Steel,Daily
sample-113,NL.39.2,no,Fall,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,0,Dry,Continuous,Production,sample-113,Rubber,Daily
sample-315,NL.40.1,no,Summer,Facility3,Drain,Filling,Filling,3,None,No,Stainless Steel,500,Wet,Continuous,Production,sample-315,Stainless Steel,Daily
sample-117,NL.40.2,no,Fall,Facility3,Drain,Filling,Filling,3,Yes,No,Stainless Steel,0,Wet,Continuous,Production,sample-117,Stainless Steel,Daily
sample-118,NL.40.4,no,Spring,Facility3,Drain,Filling,Filling,3,Yes,No,Stainless Steel,3800000,Wet,Continuous,Production,sample-118,Stainless Steel,Daily
sample-316,NL.41.1,yes,Summer,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,115000,Dry,Continuous,Production,sample-316,Rubber,Daily
sample-119,NL.41.2,yes,Fall,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,0,Dry,Continuous,Production,sample-119,Rubber,Daily
sample-121,NL.41.3,yes,Winter,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,800,Dry,Continuous,Production,sample-121,Rubber,Daily
sample-120,NL.41.4,yes,Spring,Facility3,Conveyor,Filling,Filling,2,Yes,No,Rubber,0,Dry,Continuous,Production,sample-120,Rubber,Daily
sample-317,NL.42.1,yes,Summer,Facility3,Hose,Filling,Filling,2,Yes,No,Teflon,410000,Dry,Continuous,Production,sample-317,Plastic,None
sample-122,NL.42.2,yes,Fall,Facility3,Hose,Filling,Filling,2,Yes,No,Teflon,0,Dry,Continuous,Production,sample-122,Plastic,None
sample-124,NL.43.3,yes,Winter,Facility3,Drain,Filling,Filling,3,Yes,No,Metal,14000,Wet,Continuous,Production,sample-124,Metal,Daily
sample-123,NL.43.4,yes,Spring,Facility3,Drain,Filling,Filling,3,Yes,No,Metal,6800,Wet,Continuous,Production,sample-123,Metal,Daily
sample-318,NL.44.1,yes,Summer,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,19000,Dry,Grille,Production,sample-318,Wood,None
sample-125,NL.44.2,yes,Fall,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,0,Dry,Grille,Production,sample-125,Wood,None
sample-127,NL.44.3,yes,Winter,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,2000000,Wet,Grille,Production,sample-127,Wood,None
sample-126,NL.44.4,yes,Spring,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,10000,Wet,Grille,Production,sample-126,Wood,None
sample-319,NL.45.1,no,Summer,Facility3,Drain,Filling,Filling,3,None,No,Stainless Steel,770000,Wet,Perforated,Production,sample-319,Stainless Steel,Daily
sample-320,NL.46.1,no,Summer,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,6750,Wet,Grille,Production,sample-320,Wood,None
sample-128,NL.46.2,no,Fall,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,0,Wet,Grille,Production,sample-128,Wood,None
sample-130,NL.46.3,no,Winter,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,320000,Wet,Grille,Production,sample-130,Wood,None
sample-129,NL.46.4,no,Spring,Facility3,Non-FPE Structure,Filling,Filling,3,Yes,No,Spray painted wood,800,Dry,Grille,Production,sample-129,Wood,None
sample-131,NL.47.2,no,Fall,Facility3,FPE Structure,Filling,Filling,2,Yes,No,Stainless Steel,0,Dry,Continuous,Production,sample-131,Stainless Steel,Daily
sample-132,NL.47.4,no,Spring,Facility3,FPE Structure,Filling,Filling,2,Yes,No,Stainless Steel,0,Dry,Continuous,Production,sample-132,Stainless Steel,Daily
sample-321,NL.48.1,no,Summer,Facility3,Door,Filling,Filling,3,Yes,No,Plastic,1400,Dry,Continuous,Production,sample-321,Plastic,None
sample-133,NL.48.2,no,Fall,Facility3,Door,Filling,Filling,3,Yes,No,Plastic,0,Dry,Continuous,Production,sample-133,Plastic,None
sample-323,NL.50.1,yes,Summer,Facility3,Floor Object,Cold Storage,Warehouse,3,Yes,No,Cement,800,Wet,Continuous,Storage,sample-323,Cement,Daily
sample-137,NL.50.2,yes,Fall,Facility3,Floor Object,Cold Storage,Warehouse,3,Yes,No,Cement,150,Wet,Continuous,Storage,sample-137,Cement,Daily
sample-139,NL.50.3,yes,Winter,Facility3,Floor Object,Cold Storage,Warehouse,3,Yes,No,Cement,0,Wet,Continuous,Storage,sample-139,Cement,Daily
sample-138,NL.50.4,yes,Spring,Facility3,Floor Object,Cold Storage,Warehouse,3,Yes,No,Cement,38000,Wet,Continuous,Storage,sample-138,Cement,Daily
sample-140,NL.51.2,no,Fall,Facility3,Fan/Vent,Cold Storage,Warehouse,3,Yes,No,Metal,4000,Dry,Grille,Storage,sample-140,Metal,None
sample-142,NL.51.3,no,Winter,Facility3,Fan/Vent,Cold Storage,Warehouse,3,Yes,No,Metal,38400,Dry,Grille,Storage,sample-142,Metal,None
sample-141,NL.51.4,no,Spring,Facility3,Fan/Vent,Cold Storage,Warehouse,3,Yes,No,Metal,8000,Dry,Grille,Storage,sample-141,Metal,None
sample-324,NL.52.1,yes,Summer,Facility3,Forklift/Pallet Jack,Cold Storage,Warehouse,3,Yes,No,"Rubber, Metal",50,Dry,Continuous,Storage,sample-324,Rubber,As needed
sample-143,NL.52.2,yes,Fall,Facility3,Forklift/Pallet Jack,Cold Storage,Warehouse,3,Yes,No,"Rubber, Metal",300,Dry,Continuous,Storage,sample-143,Rubber,As needed
sample-145,NL.52.3,yes,Winter,Facility3,Forklift/Pallet Jack,Cold Storage,Warehouse,3,Yes,No,"Rubber, Metal",3200,Dry,Continuous,Storage,sample-145,Rubber,As needed
sample-144,NL.52.4,yes,Spring,Facility3,Forklift/Pallet Jack,Cold Storage,Warehouse,3,Yes,No,"Rubber, Metal",2800,Dry,Continuous,Storage,sample-144,Rubber,As needed
sample-53,NL.E1.2,no,Fall,Facility3,Non-FPE Structure,Hallway,Office/Hallway,4,None,No,Plastic,3000000000,Dry,Continuous,Hallway,sample-53,Plastic,NA
sample-46,NL.E10.2,no,Fall,Facility3,Drain,Receiving,Warehouse,3,No,No,Metal,175000,Dry,Grid,Receiving,sample-46,Metal,NA
sample-47,NL.E10.3,no,Winter,Facility3,Drain,Receiving,Warehouse,3,No,No,Metal,26400,Dry,Grid,Receiving,sample-47,Metal,NA
sample-155,NL.E10.4,no,Spring,Facility3,Drain,Receiving,Warehouse,3,No,No,Metal,1200000,Dry,Grid,Receiving,sample-155,Metal,NA
sample-48,NL.E11.2,no,Fall,Facility3,FPE Structure,Filling,Filling,2,Yes,No,Stainless Steel,650,Dry,Continuous,Production,sample-48,Stainless Steel,Daily
sample-49,NL.E12.2,no,Fall,Facility3,FPE Structure,Filling,Filling,2,Yes,No,Stainless Steel,28500000,Dry,Continuous,Production,sample-49,Stainless Steel,Daily
sample-50,NL.E13.3,no,Winter,Facility3,Floor Object,Filling,Filling,3,No,No,Tarp,680000,Wet,Continuous,Production,sample-50,Plastic,NA
sample-55,NL.E2.2,no,Fall,Facility3,Non-FPE Structure,Hallway,Office/Hallway,4,None,No,Cardboard,50,Dry,Continuous,Hallway,sample-55,Cardboard,NA
sample-61,NL.E4.2,no,Fall,Facility3,Non-FPE Structure,Filling,Filling,3,No,No,NA,2500000000,Dry,Continuous,Production,sample-61,NA,NA
sample-65,NL.E5.2,no,Fall,Facility3,Non-FPE Structure,Filling,Filling,3,No,No,Cardboard,130000,Dry,Continuous,Production,sample-65,Cardboard,NA
sample-157,NL.E5.4,no,Spring,Facility3,Non-FPE Structure,Filling,Filling,3,No,No,Cardboard,0,Dry,Continuous,Production,sample-157,Cardboard,NA
sample-74,NL.E8.2,no,Fall,Facility3,Wall/Ceiling,Cold Storage,Warehouse,3,Yes,No,"Cincerblock, cement, wood",220000,Dry,Continuous,Storage,sample-74,"Cincerblock, cement, wood",NA
sample-75,NL.E8.3,no,Winter,Facility3,Wall/Ceiling,Cold Storage,Warehouse,3,Yes,No,"Cincerblock, cement, wood",62000,Dry,Continuous,Storage,sample-75,"Cincerblock, cement, wood",NA
sample-158,NL.E8.4,no,Spring,Facility3,Wall/Ceiling,Cold Storage,Warehouse,3,Yes,No,"Cincerblock, cement, wood",129000,Dry,Continuous,Storage,sample-158,"Cincerblock, cement, wood",NA
sample-76,NL.E9.2,no,Fall,Facility3,Floor Object,Receiving,Warehouse,3,Yes,No,Diamond Rough Metal,70000,Dry,Continuous,Receiving,sample-76,Metal,NA
sample-77,NL.E9.3,no,Winter,Facility3,Floor Object,Receiving,Warehouse,3,Yes,No,Diamond Rough Metal,48000,Dry,Continuous,Receiving,sample-77,Metal,NA
sample-159,NL.E9.4,no,Spring,Facility3,Floor Object,Receiving,Warehouse,3,Yes,No,Diamond Rough Metal,153000,Dry,Continuous,Receiving,sample-159,Metal,NA
sample-207,WS.04.2,no,Fall,Facilty1,Drain,Dry Storage,Warehouse,3,Yes,No,Stainless Steel,310000,Dry,Perforated,Production,sample-207,Stainless Steel,monthly 
sample-349,WS.05.1,no,Summer,Facilty1,Forklift/Pallet Jack,Dry Storage,Warehouse,3,Yes,No,"Rubber, Metal",15200,Dry,Continuous,Production,sample-349,"Rubber, Metal",Yearly
sample-233,WS.05.2,no,Fall,Facilty1,Forklift/Pallet Jack,Dry Storage,Warehouse,3,Yes,No,"Rubber, Metal",400,Dry,Continuous,Production,sample-233,"Rubber, Metal",Yearly
sample-234,WS.05.3,no,Winter,Facilty1,Forklift/Pallet Jack,Dry Storage,Warehouse,3,Yes,No,"Rubber, Metal",525000,Dry,Continuous,Production,sample-234,"Rubber, Metal",Yearly
sample-352,WS.06.1,no,Summer,Facilty1,Forklift/Pallet Jack,Dry Storage,Warehouse,3,Yes,No,"Rubber, Metal",80000,Dry,Continuous,Production,sample-352,"Rubber, Metal",Yearly
sample-238,WS.06.2,no,Fall,Facilty1,Forklift/Pallet Jack,Dry Storage,Warehouse,3,Yes,No,"Rubber, Metal",800,Dry,Continuous,Production,sample-238,"Rubber, Metal",Yearly
sample-239,WS.06.3,no,Winter,Facilty1,Forklift/Pallet Jack,Dry Storage,Warehouse,3,Yes,No,"Rubber, Metal",8000,Dry,Continuous,Production,sample-239,"Rubber, Metal",Yearly
sample-353,WS.07.1,no,Summer,Facilty1,Door,Dry Storage,Warehouse,3,Yes,No,"Plastic, cement floor",0,Dry,Continuous,Production,sample-353,Cement,Daily
sample-354,WS.08.1,yes,Summer,Facilty1,Drain,Raw Blend,Raw,3,None,No,Stainless Steel,188000000,Wet,Perforated,Production,sample-354,Stainless Steel,monthly 
sample-240,WS.08.2,yes,Fall,Facilty1,Drain,Raw Blend,Raw,3,Yes,No,Stainless Steel,208000000,Wet,Perforated,Production,sample-240,Stainless Steel,monthly 
sample-242,WS.08.3,yes,Winter,Facilty1,Drain,Raw Blend,Raw,3,Yes,No,Stainless Steel,13600000,Wet,Perforated,Production,sample-242,Stainless Steel,monthly 
sample-241,WS.08.4,yes,Spring,Facilty1,Drain,Raw Blend,Raw,3,Yes,No,Stainless Steel,1950000000,Wet,Perforated,Production,sample-241,Stainless Steel,monthly 
sample-355,WS.09.1,yes,Summer,Facilty1,Hose,Raw Blend,Raw,3,Yes,Yes,Rubber,975000,Dry,Continuous,Production,sample-355,Rubber,Yearly
sample-160,WS.09.2,yes,Fall,Facilty1,Hose,Raw Blend,Raw,2,Yes,Yes,Rubber,365000,Damp,Continuous,Production,sample-160,Rubber,Yearly
sample-244,WS.09.3,yes,Winter,Facilty1,Hose,Raw Blend,Raw,2,Yes,Yes,Rubber,12100000,Damp,Continuous,Production,sample-244,Rubber,Yearly
sample-243,WS.09.4,yes,Spring,Facilty1,Hose,Raw Blend,Raw,2,Yes,Yes,Rubber,14000,Dry,Continuous,Production,sample-243,Rubber,Yearly
sample-161,WS.10.3,no,Winter,Facilty1,Hose,Raw Blend,Raw,2,Yes,No,Rubber,800,Damp,Continuous,Production,sample-161,Rubber,None
sample-245,WS.10.4,no,Spring,Facilty1,Hose,Raw Blend,Raw,2,Yes,No,Rubber,8800,Damp,Continuous,Production,sample-245,Rubber,None
sample-328,WS.11.1,no,Summer,Facilty1,Non-FPE Structure,Raw Blend,Raw,3,Yes,No,Stainless Steel,500000,Dry,Continuous,Production,sample-328,Stainless Steel,Weekly
sample-162,WS.11.3,no,Winter,Facilty1,Non-FPE Structure,Raw Blend,Raw,3,Yes,No,Stainless Steel,160000,Wet,Continuous,Production,sample-162,Stainless Steel,Weekly
sample-329,WS.12.1,no,Summer,Facilty1,Fan/Vent,Raw Blend,Raw,2,None,No,Painted Metal,200,Dry,Grille,Production,sample-329,Metal,None
sample-163,WS.12.2,no,Fall,Facilty1,Fan/Vent,Raw Blend,Raw,2,Yes,No,Painted Metal,0,Dry,Grille,Production,sample-163,Metal,None
sample-164,WS.12.3,no,Winter,Facilty1,Fan/Vent,Raw Blend,Raw,2,Yes,No,Painted Metal,0,Dry,Grille,Production,sample-164,Metal,None
sample-330,WS.13.1,no,Summer,Facilty1,FPE Structure,Raw Blend,Raw,2,None,No,Stainless Steel,25000000,Damp,Continuous,Production,sample-330,Stainless Steel,Weekly
sample-331,WS.14.1,yes,Summer,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,"Metal, Sealed concrete ",18800,Dry,Grille,Storage,sample-331,"Metal, Sealed concrete ",None
sample-165,WS.14.2,yes,Fall,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,"Metal, Sealed concrete ",10700,Dry,Grille,Storage,sample-165,"Metal, Sealed concrete ",None
sample-167,WS.14.3,yes,Winter,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,"Metal, Sealed concrete ",0,Dry,Grille,Storage,sample-167,"Metal, Sealed concrete ",None
sample-166,WS.14.4,yes,Spring,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,"Metal, Sealed concrete ",53200,Dry,Grille,Storage,sample-166,"Metal, Sealed concrete ",None
sample-168,WS.15.2,no,Fall,Facilty1,Non-FPE Structure,Cold Storage,Warehouse,3,Yes,No,Metal,1000,Wet,Grille,Storage,sample-168,Metal,None
sample-169,WS.15.4,no,Spring,Facilty1,Non-FPE Structure,Cold Storage,Warehouse,3,Yes,No,Metal,320000,Dry,Grille,Storage,sample-169,Metal,None
sample-332,WS.16.1,yes,Summer,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,Metal,2300,Dry,Perforated,Storage,sample-332,Metal,Weekly
sample-170,WS.16.2,yes,Fall,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,Metal,95000,Wet,Perforated,Storage,sample-170,Metal,Weekly
sample-172,WS.16.3,yes,Winter,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,Metal,3600,Wet,Perforated,Storage,sample-172,Metal,Weekly
sample-171,WS.16.4,yes,Spring,Facilty1,Floor Object,Cold Storage,Warehouse,3,Yes,No,Metal,4000,Dry,Perforated,Storage,sample-171,Metal,Weekly
sample-173,WS.17.2,no,Fall,Facilty1,Cleaning Tools,Cold Storage,Warehouse,3,None,No,"Rubber, Plastic",250,Dry,Continuous,Storage,sample-173,Plastic,Daily
sample-174,WS.17.3,no,Winter,Facilty1,Cleaning Tools,Cold Storage,Warehouse,3,None,No,"Rubber, Plastic",400,Dry,Continuous,Storage,sample-174,Plastic,Daily
sample-175,WS.18.2,no,Fall,Facilty1,Wall/Ceiling,Cold Storage,Warehouse,3,Yes,No,Painted Metal,46200,Dry,Continuous,Storage,sample-175,Metal,None
sample-177,WS.18.3,no,Winter,Facilty1,Wall/Ceiling,Cold Storage,Warehouse,3,Yes,No,Painted Metal,2960000,Dry,Continuous,Storage,sample-177,Metal,None
sample-176,WS.18.4,no,Spring,Facilty1,Wall/Ceiling,Cold Storage,Warehouse,3,Yes,No,Painted Metal,2360000,Dry,Continuous,Storage,sample-176,Metal,None
sample-333,WS.20.1,yes,Summer,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,None,No,Stainless Steel,15000000,Wet,Perforated,Production,sample-333,Stainless Steel,monthly 
sample-178,WS.20.2,yes,Fall,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,1450,Wet,Perforated,Production,sample-178,Stainless Steel,monthly 
sample-180,WS.20.3,yes,Winter,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,192000,Wet,Perforated,Production,sample-180,Stainless Steel,monthly 
sample-179,WS.20.4,yes,Spring,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,64000,Wet,Perforated,Production,sample-179,Stainless Steel,monthly 
sample-334,WS.21.1,no,Summer,Facilty1,Door,Cheese Room,Post-Pasteurization ,3,None,No,Plastic,1450,Wet,Continuous,Production,sample-334,Plastic,Continuous
sample-181,WS.21.3,no,Winter,Facilty1,Door,Cheese Room,Post-Pasteurization ,3,Yes,No,Plastic,0,Damp,Continuous,Production,sample-181,Plastic,Continuous
sample-182,WS.22.2,no,Fall,Facilty1,Cart/Rolling Bins,Cheese Room,Post-Pasteurization ,3,Yes,No,"Rubber, Metal",0,Dry,Continuous,Production,sample-182,Rubber,None
sample-183,WS.23.2,no,Fall,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,No,Rubber,0,Dry,Continuous,Production,sample-183,Rubber,None
sample-184,WS.23.3,no,Winter,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,No,Rubber,0,Dry,Continuous,Production,sample-184,Rubber,None
sample-335,WS.24.1,yes,Summer,Facilty1,Floor Object,Cheese Room,Post-Pasteurization ,3,Yes,No,Metal,1450,Dry,Grid,Production,sample-335,Metal,None
sample-185,WS.24.2,yes,Fall,Facilty1,Floor Object,Cheese Room,Post-Pasteurization ,3,Yes,No,Metal,0,Dry,Grid,Production,sample-185,Metal,None
sample-187,WS.24.3,yes,Winter,Facilty1,Floor Object,Cheese Room,Post-Pasteurization ,3,Yes,No,Metal,0,Dry,Grid,Production,sample-187,Metal,None
sample-186,WS.24.4,yes,Spring,Facilty1,Floor Object,Cheese Room,Post-Pasteurization ,3,Yes,No,Metal,0,Dry,Grid,Production,sample-186,Metal,None
sample-336,WS.26.1,no,Summer,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,No,Rubber,1500,Dry,Continuous,Production,sample-336,Rubber,None
sample-337,WS.27.1,yes,Summer,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,Yes,Metal,50000,Dry,Continuous,Production,sample-337,Metal,None
sample-188,WS.27.2,yes,Fall,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,Yes,Metal,14400,Dry,Continuous,Production,sample-188,Metal,None
sample-190,WS.27.3,yes,Winter,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,Yes,Metal,11200,Dry,Continuous,Production,sample-190,Metal,None
sample-189,WS.27.4,yes,Spring,Facilty1,Hose,Cheese Room,Post-Pasteurization ,2,Yes,Yes,Metal,1600,Dry,Continuous,Production,sample-189,Metal,None
sample-192,WS.28.3,no,Winter,Facilty1,FPE Structure,Kosher Cheese Room,Post-Pasteurization ,2,Yes,No,Stainless Steel,234000,Dry,Continuous,Production,sample-192,Stainless Steel,Daily
sample-191,WS.28.4,no,Spring,Facilty1,FPE Structure,Kosher Cheese Room,Post-Pasteurization ,2,Yes,No,Stainless Steel,62800,Dry,Continuous,Production,sample-191,Stainless Steel,Daily
sample-338,WS.29.1,no,Summer,Facilty1,Floor Object,Kosher Cheese Room,Post-Pasteurization ,3,None,No,Sealed Stone,185000,Wet,Continuous,Production,sample-338,Sealed Stone,None/as needed
sample-193,WS.29.3,no,Winter,Facilty1,Floor Object,Kosher Cheese Room,Post-Pasteurization ,3,Yes,No,Sealed Stone,6000,Wet,Continuous,Production,sample-193,Sealed Stone,None/as needed
sample-339,WS.30.1,no,Summer,Facilty1,Cart/Rolling Bins,Kosher Cheese Room,Post-Pasteurization ,3,Yes,No,"Rubber, Plastic",0,Dry,Continuous,Production,sample-339,Rubber,None
sample-194,WS.31.2,no,Fall,Facilty1,FPE Structure,Kosher Cheese Room,Post-Pasteurization ,2,Yes,No,Stainless Steel,35000,Dry,Continuous,Production,sample-194,Stainless Steel,Daily
sample-196,WS.31.3,no,Winter,Facilty1,FPE Structure,Kosher Cheese Room,Post-Pasteurization ,2,Yes,No,Stainless Steel,61600,Dry,Continuous,Production,sample-196,Stainless Steel,Daily
sample-195,WS.31.4,no,Spring,Facilty1,FPE Structure,Kosher Cheese Room,Post-Pasteurization ,2,Yes,No,Stainless Steel,9200,Dry,Continuous,Production,sample-195,Stainless Steel,Daily
sample-197,WS.33.4,no,Spring,Facilty1,Non-FPE Structure,Cheese Room,Post-Pasteurization ,2,None,No,Stainless Steel,19600,Wet,Continuous,Production,sample-197,Stainless Steel,None
sample-340,WS.35.1,yes,Summer,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,157000000,Wet,Perforated,Production,sample-340,Stainless Steel,monthly 
sample-198,WS.35.2,yes,Fall,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,248000000,Wet,Perforated,Production,sample-198,Stainless Steel,monthly 
sample-200,WS.35.3,yes,Winter,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,7070000000,Wet,Perforated,Production,sample-200,Stainless Steel,monthly 
sample-199,WS.35.4,yes,Spring,Facilty1,Drain,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,1940000000,Wet,Perforated,Production,sample-199,Stainless Steel,monthly 
sample-341,WS.36.1,no,Summer,Facilty1,Wall/Ceiling,Cheese Room,Post-Pasteurization ,3,Yes,No,Painted Cinderblock,45000000,Dry,Continuous,Production,sample-341,Painted Cinderblock,None
sample-201,WS.36.2,no,Fall,Facilty1,Wall/Ceiling,Cheese Room,Post-Pasteurization ,3,Yes,No,Painted Cinderblock,50000,Dry,Continuous,Production,sample-201,Painted Cinderblock,None
sample-202,WS.36.4,no,Spring,Facilty1,Wall/Ceiling,Cheese Room,Post-Pasteurization ,3,Yes,No,Painted Cinderblock,132000,Dry,Continuous,Production,sample-202,Painted Cinderblock,None
sample-203,WS.37.3,no,Winter,Facilty1,Non-FPE Structure,Cheese Room,Post-Pasteurization ,3,Yes,No,Stainless Steel,0,Dry,Continuous,Production,sample-203,Stainless Steel,None
sample-342,WS.39.1,yes,Summer,Facilty1,Forklift/Pallet Jack,Filling,Filling,2,Yes,No,"Rubber, Metal",17900,Dry,Continuous,Production,sample-342,"Rubber, Metal",As needed
sample-204,WS.39.2,yes,Fall,Facilty1,Forklift/Pallet Jack,Filling,Filling,2,Yes,No,"Rubber, Metal",21600,Dry,Continuous,Production,sample-204,"Rubber, Metal",As needed
sample-206,WS.39.3,yes,Winter,Facilty1,Forklift/Pallet Jack,Filling,Filling,2,Yes,No,"Rubber, Metal",3240000,Dry,Continuous,Production,sample-206,"Rubber, Metal",As needed
sample-205,WS.39.4,yes,Spring,Facilty1,Forklift/Pallet Jack,Filling,Filling,2,Yes,No,"Rubber, Metal",0,Dry,Continuous,Production,sample-205,"Rubber, Metal",As needed
sample-209,WS.40.3,no,Winter,Facilty1,Cart/Rolling Bins,Filling,Filling,3,None,No,"Rubber, Metal",0,Dry,Continuous,Production,sample-209,Rubber,None
sample-208,WS.40.4,no,Spring,Facilty1,Cart/Rolling Bins,Filling,Filling,3,None,No,"Rubber, Metal",41600,Wet,Continuous,Production,sample-208,Rubber,None
sample-210,WS.41.2,no,Fall,Facilty1,Cart/Rolling Bins,Filling,Filling,3,None,No,Plastic,1250,Dry,Continuous,Production,sample-210,Rubber,None
sample-212,WS.41.3,no,Winter,Facilty1,Cart/Rolling Bins,Filling,Filling,3,None,No,Plastic,52400,Damp,Continuous,Production,sample-212,Rubber,None
sample-211,WS.41.4,no,Spring,Facilty1,Cart/Rolling Bins,Filling,Filling,3,None,No,Plastic,4000,Damp,Continuous,Production,sample-211,Rubber,None
sample-213,WS.42.2,no,Fall,Facilty1,Drain,Filling,Filling,3,Yes,No,Stainless Steel,950,Wet,Perforated,Production,sample-213,Stainless Steel,monthly 
sample-215,WS.42.3,no,Winter,Facilty1,Drain,Filling,Filling,3,Yes,No,Stainless Steel,40000000,Wet,Perforated,Production,sample-215,Stainless Steel,monthly 
sample-214,WS.42.4,no,Spring,Facilty1,Drain,Filling,Filling,3,Yes,No,Stainless Steel,38000,Wet,Perforated,Production,sample-214,Stainless Steel,monthly 
